,Lifetime Total Likes,Lifetime Likes by Gender and Age - F.13-17,Lifetime Likes by Gender and Age - F.18-24,Lifetime Likes by Gender and Age - F.25-34,Lifetime Likes by Gender and Age - F.35-44,Lifetime Likes by Gender and Age - F.45-54,Lifetime Likes by Gender and Age - F.55-64,Lifetime Likes by Gender and Age - F.65+,Lifetime Likes by Gender and Age - M.13-17,Lifetime Likes by Gender and Age - M.18-24,Lifetime Likes by Gender and Age - M.25-34,Lifetime Likes by Gender and Age - M.35-44,Lifetime Likes by Gender and Age - M.45-54,Lifetime Likes by Gender and Age - M.55-64,Lifetime Likes by Gender and Age - M.65+
0,9239,18.0,1384.0,455.0,28.0,15.0,3.0,14.0,30.0,4530.0,2545.0,126.0,34.0,15.0,41.0
1,9241,17.0,1385.0,455.0,28.0,15.0,3.0,14.0,30.0,4530.0,2547.0,126.0,34.0,15.0,41.0
2,9241,17.0,1384.0,455.0,28.0,15.0,3.0,14.0,30.0,4529.0,2549.0,126.0,34.0,15.0,41.0
3,9243,17.0,1384.0,456.0,28.0,15.0,3.0,14.0,30.0,4526.0,2553.0,126.0,34.0,15.0,41.0
4,9242,17.0,1383.0,457.0,28.0,15.0,3.0,14.0,30.0,4522.0,2556.0,126.0,34.0,15.0,41.0
5,9249,17.0,1385.0,457.0,28.0,15.0,3.0,14.0,30.0,4523.0,2560.0,126.0,34.0,15.0,41.0
6,9250,17.0,1385.0,458.0,28.0,15.0,3.0,14.0,30.0,4517.0,2566.0,126.0,34.0,15.0,41.0
7,9253,17.0,1386.0,457.0,28.0,15.0,3.0,14.0,31.0,4517.0,2568.0,126.0,34.0,15.0,41.0
8,9257,17.0,1386.0,458.0,28.0,15.0,3.0,14.0,31.0,4516.0,2572.0,126.0,34.0,15.0,41.0
9,9260,17.0,1385.0,459.0,28.0,15.0,3.0,14.0,31.0,4519.0,2574.0,126.0,33.0,15.0,40.0
10,9260,17.0,1384.0,460.0,28.0,15.0,3.0,14.0,30.0,4518.0,2576.0,126.0,33.0,15.0,40.0
11,9264,17.0,1386.0,463.0,28.0,15.0,3.0,13.0,30.0,4519.0,2576.0,126.0,33.0,15.0,39.0
12,9269,17.0,1387.0,464.0,28.0,15.0,3.0,13.0,30.0,4520.0,2577.0,127.0,33.0,15.0,39.0
13,9271,17.0,1387.0,464.0,28.0,15.0,3.0,13.0,30.0,4519.0,2579.0,128.0,33.0,15.0,39.0
14,9278,17.0,1389.0,464.0,28.0,16.0,3.0,13.0,30.0,4523.0,2578.0,129.0,33.0,15.0,39.0
15,9281,17.0,1388.0,465.0,28.0,16.0,3.0,13.0,30.0,4522.0,2581.0,130.0,33.0,15.0,39.0
16,9288,17.0,1387.0,467.0,28.0,16.0,3.0,13.0,30.0,4526.0,2583.0,130.0,33.0,15.0,39.0
17,9290,17.0,1387.0,468.0,28.0,16.0,3.0,13.0,30.0,4524.0,2586.0,130.0,33.0,15.0,39.0
18,9292,17.0,1387.0,468.0,28.0,16.0,3.0,13.0,31.0,4520.0,2590.0,131.0,33.0,15.0,39.0
19,9293,17.0,1385.0,470.0,28.0,16.0,3.0,13.0,30.0,4521.0,2591.0,131.0,33.0,15.0,39.0
20,9294,17.0,1385.0,470.0,28.0,16.0,3.0,13.0,29.0,4522.0,2592.0,131.0,33.0,15.0,39.0
21,9297,17.0,1385.0,471.0,28.0,16.0,3.0,13.0,29.0,4523.0,2593.0,131.0,33.0,15.0,38.0
22,9300,17.0,1385.0,473.0,28.0,16.0,3.0,13.0,29.0,4523.0,2597.0,131.0,33.0,15.0,38.0
23,9308,17.0,1385.0,474.0,28.0,16.0,3.0,13.0,29.0,4527.0,2600.0,132.0,33.0,15.0,38.0
24,9312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,9318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,9325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,9343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
