,Lifetime Total Likes,Daily New Likes,Daily Unlikes,Daily Page Engaged Users,Weekly Page Engaged Users,28 Days Page Engaged Users,Daily Total Reach,Weekly Total Reach,28 Days Total Reach,Daily Organic Reach,Weekly Organic Reach,28 Days Organic Reach,Daily Viral Reach,Weekly Viral Reach,28 Days Viral Reach,Daily Total Impressions,Weekly Total Impressions,28 Days Total Impressions,Daily Organic impressions,Weekly Organic impressions,28 Days Organic impressions
0,9239,3.0,2.0,29,928,4219,921,8867,31929,918,8855,31908,813,6408,28265,1492,22473,163733,1456,21967,158254
1,9241,3.0,2.0,22,872,4046,556,8784,31373,553,8778,31353,489,6404,27653,1124,19793,158841,1093,19332,153762
2,9241,1.0,0.0,91,584,3954,2240,7717,30984,2240,7712,30964,1679,6329,27266,3347,16555,154893,3296,16155,149945
3,9243,3.0,1.0,19,473,3294,616,7235,28830,615,7231,28813,547,6065,25055,1179,15569,143846,1137,15191,139107
4,9242,0.0,1.0,11,455,3090,443,7184,28438,439,7180,28421,407,6058,24372,769,14951,138610,743,14589,134097
5,9249,7.0,0.0,17,449,2921,448,7161,27792,446,7156,27776,414,6041,23875,1152,14771,132781,1114,14443,128523
6,9250,1.0,0.0,6,189,2641,254,4806,26343,253,4775,26328,236,4127,22563,623,9686,124178,609,9448,120205
7,9253,4.0,1.0,83,228,2411,1372,4859,25312,1372,4837,25275,791,4082,21555,2233,10427,117253,2152,10144,113487
8,9257,5.0,0.0,54,255,2301,1372,5750,25052,1370,5749,25016,1247,4980,21151,1957,11260,112670,1901,10952,109173
9,9260,3.0,0.0,74,237,2231,1474,5336,25031,1472,5327,25008,1370,4674,21124,2228,10141,109805,2189,9845,106675
10,9260,2.0,2.0,16,232,2147,615,5260,24566,612,5252,24544,557,4635,20581,1199,10161,105748,1153,9861,102887
11,9264,8.0,1.0,261,438,2282,18556,22171,38724,18556,22161,38724,2424,5957,20591,19330,28722,122897,19271,28389,120103
12,9269,6.0,0.0,180,547,2273,14080,33458,48838,14080,33458,48838,2484,6890,20438,15973,43543,130635,15853,43128,127863
13,9271,1.0,0.0,55,587,2141,5362,37563,52498,5361,37520,52498,683,7186,19838,6423,49343,128306,6349,48868,125644
14,9278,7.0,1.0,107,615,2038,1679,37736,51614,1679,37692,51614,1202,7372,19032,2183,49293,121587,2134,48850,119191
15,9281,4.0,1.0,16,585,1953,542,37003,50965,535,36960,50965,485,6655,18180,1257,48593,113889,1191,48140,111686
16,9288,7.0,0.0,17,561,1842,398,36928,49935,392,36886,49935,353,6279,17130,1232,47597,107421,1166,47117,105370
17,9290,4.0,2.0,158,645,1806,1775,36946,49604,1775,36904,49604,577,6128,16403,2699,49097,104994,2647,48611,103047
18,9292,2.0,0.0,24,466,1772,418,21420,49024,414,21406,49024,270,5124,15850,868,30635,100823,846,30186,99012
19,9293,2.0,1.0,7,334,1716,314,9017,48336,310,8994,48336,242,3340,15109,610,15272,94978,583,14916,93341
20,9294,2.0,2.0,76,329,1695,1078,4251,46440,1074,4235,46417,359,3014,14813,1911,10760,92099,1814,10381,90473
21,9297,3.0,0.0,90,331,1716,6439,8729,50077,6439,8719,50051,2659,4127,15030,7105,15682,97875,7063,15310,96271
22,9300,4.0,1.0,138,448,1794,17894,26315,62666,17894,26287,62666,1408,5186,15903,18626,33051,112697,18571,32690,111114
23,9308,9.0,1.0,341,681,1688,8096,32855,67116,8096,32855,67116,2307,6384,16155,10215,42034,116327,10026,41550,114667
24,9312,6.0,2.0,185,700,1659,7661,35441,69265,7660,35441,69265,1956,7027,15984,9656,48991,123818,9475,48378,122041
25,9318,7.0,1.0,173,803,1737,14132,44807,76457,14070,44766,76457,3045,8574,16834,15481,63604,137912,15410,62942,136106
26,9325,7.0,0.0,164,898,1818,14338,52987,83396,14323,52929,83396,2549,9124,17079,17286,80280,153866,17176,79535,152022
27,9343,0.0,0.0,56,926,1668,2285,54018,83364,2282,54070,83380,700,9118,16354,2555,80924,150559,2531,80252,148949
