,Daily Page Consumptions,Weekly Page Consumptions,28 Days Page Consumptions,Date
1,30,1028,8167,2/7/2021
2,16,904,7616,2/8/2021
3,83,597,7256,2/9/2021
4,15,494,6025,2/10/2021
5,10,476,5640,2/11/2021
6,11,458,5200,2/12/2021
7,4,169,4598,2/13/2021
8,69,208,4133,2/14/2021
9,35,227,3931,2/15/2021
10,39,183,3841,2/16/2021
11,20,188,3659,2/17/2021
12,250,428,3871,2/18/2021
13,178,595,3820,2/19/2021
14,52,643,3473,2/20/2021
15,34,608,3119,2/21/2021
16,12,585,2740,2/22/2021
17,13,559,2428,2/23/2021
18,136,675,2422,2/24/2021
19,25,450,2277,2/25/2021
20,5,277,2109,2/26/2021
21,71,296,2126,2/27/2021
22,71,333,2177,2/28/2021
23,92,413,2129,3/1/2021
24,366,766,2105,3/2/2021
25,183,813,2170,3/3/2021
26,166,954,2308,3/4/2021
27,147,1096,2426,3/5/2021
28,53,1039,2185,3/6/2021
