,Daily Liked and Online - 0,Daily Liked and Online - 1,Daily Liked and Online - 2,Daily Liked and Online - 3,Daily Liked and Online - 4,Daily Liked and Online - 5,Daily Liked and Online - 6,Daily Liked and Online - 7,Daily Liked and Online - 8,Daily Liked and Online - 9,Daily Liked and Online - 10,Daily Liked and Online - 11,Daily Liked and Online - 12,Daily Liked and Online - 13,Daily Liked and Online - 14,Daily Liked and Online - 15,Daily Liked and Online - 16,Daily Liked and Online - 17,Daily Liked and Online - 18,Daily Liked and Online - 19,Daily Liked and Online - 20,Daily Liked and Online - 21,Daily Liked and Online - 22,Daily Liked and Online - 23,Date
1,4777,4609.0,4543.0,4449.0,4805.0,4993.0,5080.0,5383.0,5562.0,5567.0,4997.0,3954.0,2740.0,1772.0,1126.0,851.0,1024.0,1359.0,2185.0,3068.0,3933.0,4371.0,4631.0,5142.0,2/7/2021
2,4731,4703.0,4541.0,4404.0,4808.0,4954.0,5111.0,5360.0,5629.0,5559.0,5046.0,3983.0,2809.0,1795.0,1058.0,803.0,1012.0,1462.0,2171.0,3053.0,3900.0,4415.0,4658.0,5071.0,2/8/2021
3,4808,4714.0,4442.0,4394.0,4826.0,4992.0,5208.0,5445.0,5582.0,5574.0,4986.0,3992.0,2711.0,1713.0,1085.0,813.0,1018.0,1579.0,2203.0,3097.0,3930.0,4328.0,4673.0,5181.0,2/9/2021
4,4744,4664.0,4490.0,4421.0,4821.0,4924.0,5087.0,5409.0,5622.0,5602.0,5100.0,4012.0,2887.0,1785.0,1110.0,803.0,1044.0,1470.0,2249.0,3170.0,3903.0,4389.0,4706.0,5082.0,2/10/2021
5,4721,4748.0,4420.0,4434.0,4805.0,4932.0,4960.0,5322.0,5447.0,5553.0,5062.0,4070.0,2964.0,1842.0,1143.0,868.0,1052.0,1286.0,1954.0,2940.0,3792.0,4399.0,4805.0,4617.0,2/11/2021
6,5047,4840.0,4346.0,4295.0,4764.0,4856.0,4988.0,5271.0,5509.0,5503.0,5049.0,4085.0,2960.0,1907.0,1177.0,829.0,1031.0,1360.0,2021.0,3088.0,4041.0,4573.0,4917.0,5127.0,2/12/2021
7,4803,4866.0,4472.0,4528.0,4831.0,5057.0,5273.0,5517.0,5767.0,5737.0,5337.0,4311.0,3017.0,1958.0,1150.0,828.0,1095.0,1616.0,2723.0,3816.0,4697.0,5065.0,5244.0,5555.0,2/13/2021
8,5120,5142.0,4744.0,4702.0,4970.0,5060.0,5176.0,5505.0,5786.0,5790.0,5234.0,4140.0,2927.0,1802.0,1068.0,834.0,1046.0,1507.0,2592.0,3665.0,4612.0,5054.0,5221.0,5631.0,2/14/2021
9,5187,5145.0,4798.0,4813.0,5044.0,5163.0,5266.0,5485.0,5733.0,5757.0,5198.0,4167.0,2977.0,1882.0,1139.0,842.0,999.0,1388.0,2277.0,3290.0,4118.0,4669.0,5008.0,5462.0,2/15/2021
10,5049,5008.0,4714.0,4691.0,4975.0,5183.0,5237.0,5559.0,5855.0,5755.0,5205.0,4225.0,3093.0,2154.0,1383.0,879.0,1063.0,1529.0,2694.0,3706.0,4640.0,4995.0,5213.0,5517.0,2/16/2021
