,Daily Negative feedback by type - hide_all_clicks,Daily Negative feedback by type - hide_clicks,Daily Negative feedback by type - report_spam_clicks,Daily Negative feedback by type - unlike_page_clicks,Daily Negative feedback by type - xbutton_clicks,Weekly Negative feedback by type - hide_all_clicks,Weekly Negative feedback by type - hide_clicks,Weekly Negative feedback by type - report_spam_clicks,Weekly Negative feedback by type - unlike_page_clicks,Weekly Negative feedback by type - xbutton_clicks,28 Days Negative feedback by type - hide_all_clicks,28 Days Negative feedback by type - hide_clicks,28 Days Negative feedback by type - report_spam_clicks,28 Days Negative feedback by type - unlike_page_clicks,28 Days Negative feedback by type - xbutton_clicks,Daily Negative Feedback From Users - hide_all_clicks,Daily Negative Feedback From Users - hide_clicks,Daily Negative Feedback From Users - report_spam_clicks,Daily Negative Feedback From Users - unlike_page_clicks,Daily Negative Feedback From Users - xbutton_clicks,Weekly Negative Feedback From Users - hide_all_clicks,Weekly Negative Feedback From Users - hide_clicks,Weekly Negative Feedback From Users - report_spam_clicks,Weekly Negative Feedback From Users - unlike_page_clicks,Weekly Negative Feedback From Users - xbutton_clicks,28 Days Negative Feedback From Users - hide_all_clicks,28 Days Negative Feedback From Users - hide_clicks,28 Days Negative Feedback From Users - report_spam_clicks,28 Days Negative Feedback From Users - unlike_page_clicks,28 Days Negative Feedback From Users - xbutton_clicks,Daily Positive Feedback From Users - answer,Daily Positive Feedback From Users - claim,Daily Positive Feedback From Users - comment,Daily Positive Feedback From Users - like,Daily Positive Feedback From Users - link,Daily Positive Feedback From Users - other,Weekly Positive Feedback From Users - answer,Weekly Positive Feedback From Users - claim,Weekly Positive Feedback From Users - comment,Weekly Positive Feedback From Users - like,Weekly Positive Feedback From Users - link,Weekly Positive Feedback From Users - other,28 Days Positive Feedback From Users - answer,28 Days Positive Feedback From Users - claim,28 Days Positive Feedback From Users - comment,28 Days Positive Feedback From Users - like,28 Days Positive Feedback From Users - link,28 Days Positive Feedback From Users - other,Daily Positive Feedback From Users - answer.1,Daily Positive Feedback From Users - claim.1,Daily Positive Feedback From Users - comment.1,Daily Positive Feedback From Users - like.1,Daily Positive Feedback From Users - link.1,Daily Positive Feedback From Users - other.1,Weekly Positive Feedback From Users - answer.1,Weekly Positive Feedback From Users - claim.1,Weekly Positive Feedback From Users - comment.1,Weekly Positive Feedback From Users - like.1,Weekly Positive Feedback From Users - link.1,Weekly Positive Feedback From Users - other.1,28 Days Positive Feedback From Users - answer.1,28 Days Positive Feedback From Users - claim.1,28 Days Positive Feedback From Users - comment.1,28 Days Positive Feedback From Users - like.1,28 Days Positive Feedback From Users - link.1,28 Days Positive Feedback From Users - other.1,Date
1,0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,6.0,1.0,3.0,0,0.0,3.0,659.0,69.0,33.0,0,0.0,113.0,1472.0,59.0,518.0,0,0.0,0.0,4.0,1.0,3.0,0,0.0,3.0,402.0,21.0,31.0,0,0.0,319.0,4301.0,262.0,553.0,2/7/2021
2,0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,10.0,0.0,3.0,0,0.0,3.0,542.0,67.0,29.0,0,0.0,107.0,1432.0,57.0,449.0,0,0.0,0.0,9.0,0.0,3.0,0,0.0,3.0,377.0,21.0,29.0,0,0.0,269.0,4083.0,257.0,482.0,2/8/2021
3,0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,12.0,39.0,3.0,1.0,0,0.0,15.0,239.0,61.0,24.0,0,0.0,104.0,1408.0,58.0,422.0,0,0.0,5.0,34.0,3.0,1.0,0,0.0,6.0,183.0,19.0,24.0,0,0.0,243.0,3898.0,259.0,455.0,2/9/2021
4,0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,5.0,2.0,3.0,0,0.0,15.0,159.0,62.0,21.0,0,0.0,85.0,1166.0,58.0,379.0,0,0.0,0.0,5.0,2.0,3.0,0,0.0,6.0,129.0,20.0,21.0,0,0.0,201.0,3395.0,259.0,401.0,2/10/2021
5,0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,3.0,0.0,0.0,0,0.0,15.0,152.0,62.0,18.0,0,0.0,84.0,1115.0,57.0,355.0,0,0.0,0.0,3.0,0.0,0.0,0,0.0,6.0,123.0,20.0,18.0,0,0.0,194.0,3228.0,258.0,375.0,2/11/2021
6,0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,7.0,0,0.0,15.0,148.0,46.0,20.0,0,0.0,80.0,1066.0,57.0,342.0,0,0.0,0.0,2.0,0.0,7.0,0,0.0,6.0,121.0,19.0,20.0,0,0.0,188.0,3060.0,258.0,356.0,2/12/2021
7,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0,0.0,12.0,66.0,6.0,18.0,0,0.0,70.0,982.0,57.0,307.0,0,0.0,0.0,1.0,0.0,1.0,0,0.0,5.0,55.0,6.0,18.0,0,0.0,161.0,2788.0,254.0,320.0,2/13/2021
8,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,32.0,19.0,6.0,0,0.0,12.0,92.0,24.0,21.0,0,0.0,62.0,910.0,59.0,285.0,0,0.0,0.0,31.0,8.0,6.0,0,0.0,5.0,75.0,12.0,21.0,0,0.0,133.0,2525.0,268.0,296.0,2/14/2021
9,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,24.0,2.0,5.0,0,0.0,12.0,106.0,26.0,23.0,0,0.0,62.0,879.0,59.0,240.0,0,0.0,0.0,24.0,2.0,5.0,0,0.0,5.0,88.0,14.0,23.0,0,0.0,131.0,2371.0,267.0,255.0,2/15/2021
10,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,67.0,1.0,6.0,0,0.0,0.0,134.0,24.0,28.0,0,0.0,62.0,861.0,58.0,199.0,0,0.0,0.0,47.0,1.0,4.0,0,0.0,0.0,98.0,13.0,26.0,0,0.0,131.0,2345.0,266.0,216.0,2/16/2021
