,Daily Total Frequency Distribution - 1,Daily Total Frequency Distribution - 2,Daily Total Frequency Distribution - 3,Daily Total Frequency Distribution - 4,Daily Total Frequency Distribution - 5,Daily Total Frequency Distribution - 6-10,Daily Total Frequency Distribution - 11-20,Daily Total Frequency Distribution - 21+,Weekly Total Frequency Distribution - 1,Weekly Total Frequency Distribution - 2,Weekly Total Frequency Distribution - 3,Weekly Total Frequency Distribution - 4,Weekly Total Frequency Distribution - 5,Weekly Total Frequency Distribution - 6-10,Weekly Total Frequency Distribution - 11-20,Weekly Total Frequency Distribution - 21+,28 Days Total Frequency Distribution - 1,28 Days Total Frequency Distribution - 2,28 Days Total Frequency Distribution - 3,28 Days Total Frequency Distribution - 4,28 Days Total Frequency Distribution - 5,28 Days Total Frequency Distribution - 6-10,28 Days Total Frequency Distribution - 11-20,28 Days Total Frequency Distribution - 21+,Daily Page Posts Frequency Distribution - 1,Daily Page Posts Frequency Distribution - 2,Daily Page Posts Frequency Distribution - 3,Daily Page Posts Frequency Distribution - 4,Daily Page Posts Frequency Distribution - 5,Daily Page Posts Frequency Distribution - 6-10,Daily Page Posts Frequency Distribution - 11-20,Daily Page Posts Frequency Distribution - 21+,Weekly Page Posts Frequency Distribution - 1,Weekly Page Posts Frequency Distribution - 2,Weekly Page Posts Frequency Distribution - 3,Weekly Page Posts Frequency Distribution - 4,Weekly Page Posts Frequency Distribution - 5,Weekly Page Posts Frequency Distribution - 6-10,Weekly Page Posts Frequency Distribution - 11-20,Weekly Page Posts Frequency Distribution - 21+,28 Days Page Posts Frequency Distribution - 1,28 Days Page Posts Frequency Distribution - 2,28 Days Page Posts Frequency Distribution - 3,28 Days Page Posts Frequency Distribution - 4,28 Days Page Posts Frequency Distribution - 5,28 Days Page Posts Frequency Distribution - 6-10,28 Days Page Posts Frequency Distribution - 11-20,28 Days Page Posts Frequency Distribution - 21+,Date
1,697,92.0,23.0,14.0,14.0,31.0,12.0,1.0,4245,1706.0,793.0,519.0,368.0,568.0,180.0,49.0,14981,4251.0,2295.0,1629.0,1218.0,3368.0,2430.0,1516.0,701,89.0,22.0,13.0,12.0,31.0,12.0,,4267,1691.0,792.0,520.0,369.0,567.0,169.0,41.0,15016,4218.0,2312.0,1617.0,1213.0,3383.0,2416.0,1448.0,2/7/2021
2,360,92.0,27.0,17.0,16.0,22.0,9.0,2.0,4457,1812.0,822.0,436.0,236.0,388.0,137.0,41.0,14838,4243.0,2224.0,1636.0,1213.0,3306.0,2360.0,1446.0,364,92.0,26.0,12.0,16.0,22.0,8.0,2.0,4476,1805.0,821.0,432.0,243.0,378.0,125.0,37.0,14874,4211.0,2237.0,1622.0,1218.0,3308.0,2350.0,1383.0,2/8/2021
3,1761,309.0,61.0,35.0,16.0,33.0,14.0,2.0,4171,1443.0,673.0,308.0,187.0,333.0,112.0,33.0,14936,4141.0,2152.0,1564.0,1167.0,3237.0,2282.0,1404.0,1764,315.0,59.0,36.0,14.0,29.0,11.0,2.0,4186,1439.0,671.0,308.0,187.0,321.0,109.0,26.0,14974,4111.0,2160.0,1548.0,1167.0,3242.0,2272.0,1345.0,2/9/2021
4,493,58.0,23.0,21.0,10.0,18.0,7.0,3.0,3900,1364.0,638.0,294.0,168.0,312.0,99.0,34.0,13664,3780.0,1999.0,1532.0,1074.0,3058.0,2132.0,1294.0,497,56.0,21.0,23.0,8.0,18.0,6.0,2.0,3916,1358.0,639.0,296.0,158.0,308.0,97.0,26.0,13705,3748.0,2006.0,1524.0,1073.0,3059.0,2124.0,1231.0,2/10/2021
5,320,59.0,13.0,14.0,5.0,24.0,3.0,,3872,1364.0,628.0,285.0,153.0,287.0,99.0,26.0,13215,3672.0,1947.0,1443.0,1107.0,2978.0,2069.0,1247.0,321,56.0,12.0,14.0,7.0,21.0,3.0,,3888,1360.0,628.0,287.0,144.0,282.0,93.0,22.0,13254,3640.0,1953.0,1439.0,1101.0,2981.0,2059.0,1188.0,2/11/2021
6,295,50.0,22.0,15.0,13.0,26.0,11.0,6.0,3901,1391.0,620.0,273.0,159.0,268.0,98.0,24.0,12974,3590.0,1876.0,1423.0,1109.0,2952.0,1978.0,1165.0,300,48.0,20.0,17.0,11.0,27.0,8.0,6.0,3919,1386.0,620.0,277.0,146.0,266.0,90.0,20.0,13015,3557.0,1877.0,1420.0,1102.0,2963.0,1960.0,1109.0,2/12/2021
7,162,39.0,7.0,11.0,6.0,20.0,9.0,,3056,761.0,261.0,137.0,107.0,188.0,75.0,20.0,12224,3469.0,1864.0,1391.0,1048.0,2854.0,1867.0,1040.0,165,35.0,8.0,10.0,6.0,20.0,9.0,,3073,753.0,267.0,133.0,98.0,185.0,69.0,17.0,12264,3435.0,1867.0,1387.0,1036.0,2865.0,1853.0,985.0,2/13/2021
8,1038,222.0,21.0,21.0,8.0,31.0,13.0,6.0,3074,795.0,286.0,179.0,121.0,205.0,80.0,27.0,11838,3345.0,1797.0,1378.0,993.0,2775.0,1677.0,974.0,1042,223.0,21.0,20.0,8.0,27.0,11.0,5.0,3090,787.0,289.0,181.0,117.0,198.0,73.0,23.0,11883,3307.0,1799.0,1379.0,984.0,2777.0,1665.0,923.0,2/14/2021
9,1154,102.0,30.0,21.0,5.0,30.0,9.0,1.0,3716,849.0,300.0,191.0,113.0,203.0,86.0,25.0,12053,3340.0,1799.0,1332.0,994.0,2699.0,1606.0,906.0,1156,99.0,28.0,18.0,12.0,25.0,7.0,1.0,3734,839.0,300.0,194.0,112.0,196.0,79.0,20.0,12099,3302.0,1804.0,1322.0,997.0,2697.0,1589.0,862.0,2/15/2021
10,1209,103.0,89.0,22.0,15.0,26.0,7.0,2.0,3707,630.0,218.0,159.0,99.0,197.0,76.0,25.0,11979,3359.0,1782.0,1333.0,998.0,2616.0,1589.0,865.0,1213,99.0,90.0,23.0,15.0,21.0,7.0,2.0,3727,621.0,209.0,163.0,100.0,195.0,63.0,23.0,12023,3331.0,1778.0,1327.0,999.0,2611.0,1579.0,826.0,2/16/2021
