,Daily Total Impressions of your posts,Weekly Total Impressions of your posts,28 Days Total Impressions of your posts,Daily Organic impressions of your posts,Weekly Organic impressions of your posts,28 Days Organic impressions of your posts,Daily Paid impressions of your posts,Weekly Paid impressions of your posts,28 Days Paid impressions of your posts,Daily Viral Impressions Of Your Posts,Weekly Viral Impressions Of Your Posts,28 Days Viral Impressions Of Your Posts,Date
1,1456,21967,158254,1456,21967,158254,,,,1258,11841,113623,2/7/2021
2,1093,19332,153762,1093,19332,153762,,,,895,11481,110135,2/8/2021
3,3296,16155,149945,3296,16155,149945,,,,2338,11771,106147,2/9/2021
4,1137,15191,139107,1137,15191,139107,,,,872,11304,96261,2/10/2021
5,743,14589,134097,743,14589,134097,,,,655,10983,92401,2/11/2021
6,1114,14443,128523,1114,14443,128523,,,,757,10920,87951,2/12/2021
7,609,9448,120205,609,9448,120205,,,,505,7280,81276,2/13/2021
8,2152,10144,113487,2152,10144,113487,,,,1097,7119,74584,2/14/2021
9,1901,10952,109173,1901,10952,109173,,,,1575,7799,71417,2/15/2021
10,2189,9845,106675,2189,9845,106675,,,,1781,7242,70315,2/16/2021
11,1153,9861,102887,1153,9861,102887,,,,961,7331,67447,2/17/2021
12,19271,28389,120103,19271,28389,120103,,,,2936,9612,68718,2/18/2021
13,15853,43128,127863,15853,43128,127863,,,,3442,12297,64917,2/19/2021
14,6349,48868,125644,6349,48868,125644,,,,1122,12914,61475,2/20/2021
15,2134,48850,119191,2134,48850,119191,,,,1536,13353,57343,2/21/2021
16,1191,48140,111686,1191,48140,111686,,,,891,12669,51922,2/22/2021
17,1166,47117,105370,1166,47117,105370,,,,772,11660,47479,2/23/2021
18,2647,48611,103047,2647,48611,103047,,,,921,11620,44501,2/24/2021
19,846,30186,99012,846,30186,99012,,,,536,9220,41852,2/25/2021
20,583,14916,93341,583,14916,93341,,,,450,6228,38591,2/26/2021
21,1814,10381,90473,1814,10381,90473,,,,596,5702,37442,2/27/2021
22,7063,15310,96271,7063,15310,96271,,,,2901,7067,39380,2/28/2021
23,18571,32690,111114,18571,32690,111114,,,,1801,7977,39926,3/1/2021
24,10011,41535,114652,10011,41535,114652,,,,2884,10089,40762,3/2/2021
25,9470,48358,122021,9470,48358,122021,,,,2536,11704,41959,3/3/2021
26,15407,62919,136083,15407,62919,136083,,,,3583,14751,44566,3/4/2021
27,17176,79512,151999,17176,79512,151999,,,,3597,17898,47343,3/5/2021
28,2531,80229,148926,2531,80229,148926,,,,845,18147,44043,3/6/2021
