,Daily Total Impressions,Weekly Total Impressions,28 Days Total Impressions,Daily Organic impressions,Weekly Organic impressions,28 Days Organic impressions,Daily Paid Impressions,Weekly Paid Impressions,28 Days Paid Impressions,Daily Viral impressions,Weekly Viral impressions,28 Days Viral impressions,Date
1,1492,22473,163733,1456,21967,158254,,,,1258,11841,113623,2/7/2021
2,1124,19793,158841,1093,19332,153762,,,,895,11481,110135,2/8/2021
3,3347,16555,154893,3296,16155,149945,,,,2338,11771,106147,2/9/2021
4,1179,15569,143846,1137,15191,139107,,,,872,11304,96261,2/10/2021
5,769,14951,138610,743,14589,134097,,,,655,10983,92401,2/11/2021
6,1152,14771,132781,1114,14443,128523,,,,757,10920,87951,2/12/2021
7,623,9686,124178,609,9448,120205,,,,505,7280,81276,2/13/2021
8,2233,10427,117253,2152,10144,113487,,,,1097,7119,74584,2/14/2021
9,1957,11260,112670,1901,10952,109173,,,,1575,7799,71417,2/15/2021
10,2228,10141,109805,2189,9845,106675,,,,1781,7242,70315,2/16/2021
11,1199,10161,105748,1153,9861,102887,,,,961,7331,67447,2/17/2021
12,19330,28722,122897,19271,28389,120103,,,,2936,9612,68718,2/18/2021
13,15973,43543,130635,15853,43128,127863,,,,3442,12297,64917,2/19/2021
14,6423,49343,128306,6349,48868,125644,,,,1122,12914,61475,2/20/2021
15,2183,49293,121587,2134,48850,119191,,,,1536,13353,57343,2/21/2021
16,1257,48593,113889,1191,48140,111686,,,,891,12669,51922,2/22/2021
17,1232,47597,107421,1166,47117,105370,,,,772,11660,47479,2/23/2021
18,2699,49097,104994,2647,48611,103047,,,,921,11620,44501,2/24/2021
19,868,30635,100823,846,30186,99012,,,,536,9220,41852,2/25/2021
20,610,15272,94978,583,14916,93341,,,,450,6228,38591,2/26/2021
21,1911,10760,92099,1814,10381,90473,,,,596,5702,37442,2/27/2021
22,7105,15682,97875,7063,15310,96271,,,,2901,7067,39380,2/28/2021
23,18626,33051,112697,18571,32690,111114,,,,1801,7977,39926,3/1/2021
24,10215,42034,116327,10026,41550,114667,,,,2899,10104,40777,3/2/2021
25,9656,48991,123818,9475,48378,122041,,,,2541,11724,41979,3/3/2021
26,15481,63604,137912,15410,62942,136106,,,,3586,14774,44589,3/4/2021
27,17286,80280,153866,17176,79535,152022,,,,3597,17921,47366,3/5/2021
28,2555,80924,150559,2531,80252,148949,,,,845,18170,44066,3/6/2021
