,Post Total Reach,Post Total Impressions,Post Organic Impressions,Engaged Users,Matched Audience Targeting Consumers on Post,Matched Audience Targeting Consumptions on Post,Negative Feedback from Users,Negative Feedback,Post Impressions by people who have liked your Page,Post reach by people who like your Page,People who have liked your Page and engaged with your post,Organic views to 95%,Organic views to 95%.1,Organic Video Views,Organic Video Views.1,Average time video viewed,Video length
Post Total Reach,1.0,0.9816217200275982,0.981621720490592,0.8828793558233597,0.821405927448773,0.7624585807992972,0.2824807702638102,0.25999521968700434,0.9100634163398652,0.8889392141639457,0.8828350606460359,0.374964280314644,0.37675312279254314,0.49863276997226996,0.5036184339589298,0.31369981670183716,0.09213030293833942
Post Total Impressions,0.9816217200275982,1.0,0.9999999979980205,0.8725403240665159,0.8138505613690098,0.7601558781884628,0.2657455232793556,0.24355622788823916,0.9376929476028965,0.8626862682814148,0.8718785339297416,0.4297148379912269,0.42899513056421645,0.5279487840019133,0.5312629913400608,0.31062077581822123,0.0831143435170952
Post Organic Impressions,0.981621720490592,0.9999999979980205,1.0,0.8725407386098009,0.8138501302323943,0.7601551250468568,0.26574363881388763,0.2435543952608659,0.9376951075194084,0.8626894587732465,0.8718791324653149,0.4297179610722091,0.42899770566507633,0.5279551671772924,0.5312671964576525,0.31062223159480096,0.08311367698770096
Engaged Users,0.8828793558233597,0.8725403240665159,0.8725407386098009,1.0,0.9799442788991811,0.9549110019019513,0.4651613940651785,0.4340663409413079,0.8088329053418416,0.7857119166646289,0.9674757944017304,0.3589996878523207,0.35660013423141235,0.6310954319549992,0.6359973337142864,0.5480853426603124,0.20670869864798827
Matched Audience Targeting Consumers on Post,0.821405927448773,0.8138505613690098,0.8138501302323943,0.9799442788991811,1.0,0.984571593252576,0.4826755481305562,0.45200166906161177,0.7514867978753637,0.7201736171520732,0.94074355267206,0.3638480020133141,0.3618023585223934,0.6754443713117134,0.6818539885077702,0.5962196046250896,0.2355240335347755
Matched Audience Targeting Consumptions on Post,0.7624585807992972,0.7601558781884628,0.7601551250468568,0.9549110019019513,0.984571593252576,1.0,0.5518408945131517,0.514807666159885,0.7028246219875225,0.6658950127928459,0.9038274421407183,0.3287348907471427,0.3274875925631105,0.7005151915476726,0.7107256956537539,0.6871309440604834,0.2867342482783839
Negative Feedback from Users,0.2824807702638102,0.2657455232793556,0.26574363881388763,0.4651613940651785,0.4826755481305562,0.5518408945131517,1.0,0.9626138658439825,0.25596663678984677,0.27773120299074444,0.3954566109724312,-0.02862935181869258,-0.02750381495621695,0.4363140058692051,0.45184962041311555,0.696813733164802,0.40878389713490465
Negative Feedback,0.25999521968700434,0.24355622788823916,0.2435543952608659,0.4340663409413079,0.45200166906161177,0.514807666159885,0.9626138658439825,1.0,0.24285384830261783,0.2685386822785678,0.37721239119648886,-0.03068787906842611,-0.029572712220972908,0.40061886123206153,0.4152182509874939,0.6436774559613437,0.37713777539942495
Post Impressions by people who have liked your Page,0.9100634163398652,0.9376929476028965,0.9376951075194084,0.8088329053418416,0.7514867978753637,0.7028246219875225,0.25596663678984677,0.24285384830261783,1.0,0.9484247710920466,0.8732997741583723,0.42854612370851786,0.4238583075496874,0.5056546544639675,0.5040475904010356,0.28360708122716904,0.06937202438956713
Post reach by people who like your Page,0.8889392141639457,0.8626862682814148,0.8626894587732465,0.7857119166646289,0.7201736171520732,0.6658950127928459,0.27773120299074444,0.2685386822785678,0.9484247710920466,1.0,0.8708567314747553,0.3066542712792379,0.3032288216068632,0.41512010412639405,0.41204154419745576,0.27200854325580687,0.08019161558087907
People who have liked your Page and engaged with your post,0.8828350606460359,0.8718785339297416,0.8718791324653149,0.9674757944017304,0.94074355267206,0.9038274421407183,0.3954566109724312,0.37721239119648886,0.8732997741583723,0.8708567314747553,1.0,0.36336979904309963,0.3604912603613126,0.5659084801127993,0.5685572271234611,0.45450155131128034,0.15215365271222223
Organic views to 95%,0.374964280314644,0.4297148379912269,0.4297179610722091,0.3589996878523207,0.3638480020133141,0.3287348907471427,-0.02862935181869258,-0.03068787906842611,0.42854612370851786,0.3066542712792379,0.36336979904309963,1.0,0.9983627496905074,0.653990574066565,0.642531065222052,0.11298129925302851,-0.019150287128925636
Organic views to 95%.1,0.37675312279254314,0.42899513056421645,0.42899770566507633,0.35660013423141235,0.3618023585223934,0.3274875925631105,-0.02750381495621695,-0.029572712220972908,0.4238583075496874,0.3032288216068632,0.3604912603613126,0.9983627496905074,1.0,0.6496855598045853,0.6413367842007007,0.11047081002347243,-0.018777116248996556
