,Post Total Reach,Post Total Impressions,Post Organic Impressions,Engaged Users,Matched Audience Targeting Consumers on Post,Matched Audience Targeting Consumptions on Post,Negative Feedback from Users,Negative Feedback,Post Impressions by people who have liked your Page,Post reach by people who like your Page,People who have liked your Page and engaged with your post,Organic views to 95%,Organic views to 95%.1,Organic Video Views,Organic Video Views.1,Average time video viewed,Video length
Post Total Reach,1.0,0.9970146297420628,0.9970146297420628,0.958101158900038,0.9368558121231634,0.9340561679894875,0.23506141950612675,0.23505950359716143,0.9862837602576665,0.9868766037549761,0.9499950597154847,0.3145721815596981,0.3154911539970856,0.23336955376032872,0.27417666803255647,0.3753896120069331,0.2327351061226275
Post Total Impressions,0.9970146297420628,1.0,1.0,0.9585629476431908,0.9380725482540415,0.9357650713047605,0.2336367548798358,0.23364025224133364,0.9910973984810576,0.9835387880000422,0.9501607417593877,0.3457412689300895,0.34671503934210085,0.2611791894226124,0.30235027654111357,0.40827755903344504,0.25888562816776567
Post Organic Impressions,0.9970146297420628,1.0,1.0,0.9585629476431908,0.9380725482540415,0.9357650713047605,0.2336367548798358,0.23364025224133364,0.9910973984810576,0.9835387880000422,0.9501607417593877,0.3457412689300895,0.34671503934210085,0.2611791894226124,0.30235027654111357,0.40827755903344504,0.25888562816776567
Engaged Users,0.958101158900038,0.9585629476431908,0.9585629476431908,1.0,0.9883047868440584,0.9862321790570598,0.2320404076922222,0.23244561328772542,0.9620717835891294,0.9608652043180682,0.9960380974677158,0.3475635937187128,0.3484428926355292,0.2872709097371877,0.32417908643793236,0.402932633240393,0.2869315659992109
Matched Audience Targeting Consumers on Post,0.9368558121231634,0.9380725482540415,0.9380725482540415,0.9883047868440584,1.0,0.998566230150962,0.23904131422654737,0.2397631984411246,0.9425417345351066,0.939777280936364,0.9884402662551474,0.3425616134949203,0.3434566091699587,0.30468855199932676,0.34002896452424225,0.39949019318022355,0.30692595783895754
Matched Audience Targeting Consumptions on Post,0.9340561679894875,0.9357650713047605,0.9357650713047605,0.9862321790570598,0.998566230150962,1.0,0.23801745660603993,0.23869190451987393,0.9397777368385845,0.9362469000637959,0.9860696606788945,0.3438508397046427,0.34477489577718173,0.3022474115294565,0.33876934237339096,0.4010263742822696,0.30552812493839
Negative Feedback from Users,0.23506141950612675,0.2336367548798358,0.2336367548798358,0.2320404076922222,0.23904131422654737,0.23801745660603993,1.0,0.9997332573630533,0.24043668295546775,0.24143214260082982,0.24042438963439552,-0.026877935680625832,-0.026747557634413843,-0.018908314602545502,-0.0032209902873719613,-0.006963314182679149,0.005172586361894598
Negative Feedback,0.23505950359716143,0.23364025224133364,0.23364025224133364,0.23244561328772542,0.2397631984411246,0.23869190451987393,0.9997332573630533,1.0,0.24079083680242097,0.2419191366636985,0.24112352906593706,-0.027115473477190153,-0.02698511833725632,-0.01927209185295873,-0.00360062231276552,-0.007216478912415404,0.004784579850984115
Post Impressions by people who have liked your Page,0.9862837602576665,0.9910973984810576,0.9910973984810576,0.9620717835891294,0.9425417345351066,0.9397777368385845,0.24043668295546775,0.24079083680242097,1.0,0.9927205834200611,0.9604793203479951,0.3436482713436647,0.34455827392372357,0.2695812411209725,0.30889544607595104,0.4053209503667508,0.2668930713114256
Post reach by people who like your Page,0.9868766037549761,0.9835387880000422,0.9835387880000422,0.9608652043180682,0.939777280936364,0.9362469000637959,0.24143214260082982,0.2419191366636985,0.9927205834200611,1.0,0.9609690390443942,0.2905154548947465,0.2913187963957468,0.22237411910107965,0.2602037603962104,0.3488230186370893,0.22106860256767347
