,Daily Like Sources - feed_story,Daily Like Sources - page_profile,Daily Like Sources - page_timeline,Daily Like Sources - pagelike_adder_for_reactivated_users,Daily Like Sources - pending_page_invite_upsell,Daily Like Sources - search,Daily Like Sources - unknown,Date
1,1,1.0,,1.0,,,,2/7/2021
2,,3.0,,,,,,2/8/2021
3,,1.0,,,,,,2/9/2021
4,,1.0,1.0,1.0,,,,2/10/2021
5,,,,,,,,2/11/2021
6,,4.0,1.0,1.0,,,1.0,2/12/2021
7,,,1.0,,,,,2/13/2021
8,,1.0,,1.0,,,2.0,2/14/2021
9,,5.0,,,,,,2/15/2021
10,1,1.0,1.0,,,,,2/16/2021
11,,2.0,,,,,,2/17/2021
12,4,4.0,,,,,,2/18/2021
13,,5.0,,,,,1.0,2/19/2021
14,,,,,1.0,,,2/20/2021
15,2,2.0,2.0,,,1.0,,2/21/2021
16,,,1.0,,,,3.0,2/22/2021
17,,4.0,,2.0,,1.0,,2/23/2021
18,1,2.0,,,,,1.0,2/24/2021
19,,2.0,,,,,,2/25/2021
20,,,1.0,,,,1.0,2/26/2021
21,,,,,,,2.0,2/27/2021
22,,2.0,,1.0,,,,2/28/2021
23,,,,,,,,3/1/2021
24,,,,,,,,3/2/2021
25,,,,,,,,3/3/2021
26,,,,,,,,3/4/2021
27,,,,,,,,3/5/2021
28,,,,,,,,3/6/2021
