,Daily Page Stories By Story Type - checkin,Daily Page Stories By Story Type - coupon,Daily Page Stories By Story Type - event,Daily Page Stories By Story Type - fan,Daily Page Stories By Story Type - mention,Daily Page Stories By Story Type - other,Daily Page Stories By Story Type - page post,Daily Page Stories By Story Type - question,Daily Page Stories By Story Type - user post,Weekly Page Stories By Story Type - checkin,Weekly Page Stories By Story Type - coupon,Weekly Page Stories By Story Type - event,Weekly Page Stories By Story Type - fan,Weekly Page Stories By Story Type - mention,Weekly Page Stories By Story Type - other,Weekly Page Stories By Story Type - page post,Weekly Page Stories By Story Type - question,Weekly Page Stories By Story Type - user post,28 Days Page Stories By Story Type - checkin,28 Days Page Stories By Story Type - coupon,28 Days Page Stories By Story Type - event,28 Days Page Stories By Story Type - fan,28 Days Page Stories By Story Type - mention,28 Days Page Stories By Story Type - other,28 Days Page Stories By Story Type - page post,28 Days Page Stories By Story Type - question,28 Days Page Stories By Story Type - user post,Date
1,0,0.0,0.0,3.0,0.0,6.0,1.0,0.0,0.0,0,0.0,0.0,29.0,1.0,662.0,72.0,0.0,0.0,0,0.0,0.0,514.0,8.0,4620.0,293.0,0.0,0.0,2/7/2021
2,0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0,0.0,0.0,28.0,0.0,545.0,68.0,0.0,0.0,0,0.0,0.0,447.0,7.0,4352.0,285.0,0.0,0.0,2/8/2021
3,0,0.0,0.0,1.0,0.0,51.0,3.0,0.0,0.0,0,0.0,0.0,23.0,0.0,254.0,62.0,0.0,0.0,0,0.0,0.0,423.0,6.0,4141.0,285.0,0.0,0.0,2/9/2021
4,0,0.0,0.0,3.0,0.0,5.0,2.0,0.0,0.0,0,0.0,0.0,20.0,0.0,174.0,63.0,0.0,0.0,0,0.0,0.0,371.0,6.0,3596.0,283.0,0.0,0.0,2/10/2021
5,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,17.0,0.0,167.0,63.0,0.0,0.0,0,0.0,0.0,349.0,5.0,3422.0,279.0,0.0,0.0,2/11/2021
6,0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,19.0,0.0,163.0,47.0,0.0,0.0,0,0.0,0.0,333.0,4.0,3248.0,277.0,0.0,0.0,2/12/2021
7,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,18.0,0.0,78.0,6.0,0.0,0.0,0,0.0,0.0,299.0,4.0,2949.0,271.0,0.0,0.0,2/13/2021
8,0,0.0,0.0,4.0,2.0,32.0,19.0,0.0,0.0,0,0.0,0.0,19.0,2.0,104.0,24.0,0.0,0.0,0,0.0,0.0,275.0,5.0,2658.0,284.0,0.0,0.0,2/14/2021
9,0,0.0,0.0,5.0,0.0,24.0,2.0,0.0,0.0,0,0.0,0.0,21.0,2.0,118.0,26.0,0.0,0.0,0,0.0,0.0,235.0,5.0,2502.0,282.0,0.0,0.0,2/15/2021
10,0,0.0,0.0,3.0,0.0,67.0,4.0,0.0,0.0,0,0.0,0.0,23.0,2.0,134.0,27.0,0.0,0.0,0,0.0,0.0,194.0,5.0,2476.0,283.0,0.0,0.0,2/16/2021
11,0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0,0.0,0.0,22.0,2.0,133.0,25.0,0.0,0.0,0,0.0,0.0,177.0,3.0,2352.0,280.0,0.0,0.0,2/17/2021
12,0,0.0,0.0,8.0,2.0,116.0,2.0,0.0,0.0,0,0.0,0.0,30.0,4.0,246.0,27.0,0.0,0.0,0,0.0,0.0,175.0,5.0,2446.0,281.0,0.0,0.0,2/18/2021
13,0,0.0,0.0,6.0,0.0,78.0,9.0,0.0,0.0,0,0.0,0.0,29.0,4.0,322.0,36.0,0.0,0.0,0,0.0,0.0,170.0,5.0,2326.0,273.0,0.0,0.0,2/19/2021
14,0,0.0,0.0,1.0,0.0,16.0,1.0,0.0,0.0,0,0.0,0.0,29.0,4.0,337.0,37.0,0.0,0.0,0,0.0,0.0,159.0,5.0,1960.0,256.0,0.0,0.0,2/20/2021
15,0,0.0,0.0,7.0,0.0,102.0,8.0,0.0,0.0,0,0.0,0.0,32.0,2.0,407.0,26.0,0.0,0.0,0,0.0,0.0,143.0,5.0,1844.0,212.0,0.0,0.0,2/21/2021
16,0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0,0.0,0.0,31.0,2.0,388.0,24.0,0.0,0.0,0,0.0,0.0,134.0,5.0,1733.0,175.0,0.0,0.0,2/22/2021
17,0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,35.0,2.0,323.0,20.0,0.0,0.0,0,0.0,0.0,131.0,5.0,1642.0,153.0,0.0,0.0,2/23/2021
18,0,0.0,0.0,5.0,0.0,155.0,6.0,0.0,0.0,0,0.0,0.0,38.0,2.0,474.0,26.0,0.0,0.0,0,0.0,0.0,127.0,5.0,1677.0,151.0,0.0,0.0,2/24/2021
19,0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0,0.0,0.0,32.0,0.0,370.0,24.0,0.0,0.0,0,0.0,0.0,123.0,5.0,1518.0,139.0,0.0,0.0,2/25/2021
20,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,28.0,0.0,292.0,15.0,0.0,0.0,0,0.0,0.0,119.0,5.0,1369.0,128.0,0.0,0.0,2/26/2021
