,Daily Talking About This By Story Type - checkin,Daily Talking About This By Story Type - coupon,Daily Talking About This By Story Type - event,Daily Talking About This By Story Type - fan,Daily Talking About This By Story Type - mention,Daily Talking About This By Story Type - other,Daily Talking About This By Story Type - page post,Daily Talking About This By Story Type - question,Daily Talking About This By Story Type - user post,Weekly Talking About This By Story Type - checkin,Weekly Talking About This By Story Type - coupon,Weekly Talking About This By Story Type - event,Weekly Talking About This By Story Type - fan,Weekly Talking About This By Story Type - mention,Weekly Talking About This By Story Type - other,Weekly Talking About This By Story Type - page post,Weekly Talking About This By Story Type - question,Weekly Talking About This By Story Type - user post,28 Days Talking About This By Story Type - checkin,28 Days Talking About This By Story Type - coupon,28 Days Talking About This By Story Type - event,28 Days Talking About This By Story Type - fan,28 Days Talking About This By Story Type - mention,28 Days Talking About This By Story Type - other,28 Days Talking About This By Story Type - page post,28 Days Talking About This By Story Type - question,28 Days Talking About This By Story Type - user post,Date
1,0,0.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,0,0.0,0.0,29.0,1.0,403.0,21.0,0.0,0.0,0,0.0,0.0,511.0,5.0,1487.0,60.0,0.0,0.0,2/7/2021
2,0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0,0.0,0.0,28.0,0.0,378.0,21.0,0.0,0.0,0,0.0,0.0,441.0,5.0,1446.0,58.0,0.0,0.0,2/8/2021
3,0,0.0,0.0,1.0,0.0,39.0,3.0,0.0,0.0,0,0.0,0.0,23.0,0.0,187.0,19.0,0.0,0.0,0,0.0,0.0,415.0,4.0,1424.0,59.0,0.0,0.0,2/9/2021
4,0,0.0,0.0,3.0,0.0,5.0,2.0,0.0,0.0,0,0.0,0.0,20.0,0.0,134.0,20.0,0.0,0.0,0,0.0,0.0,373.0,4.0,1184.0,59.0,0.0,0.0,2/10/2021
5,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,17.0,0.0,128.0,20.0,0.0,0.0,0,0.0,0.0,350.0,3.0,1131.0,58.0,0.0,0.0,2/11/2021
6,0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,19.0,0.0,126.0,20.0,0.0,0.0,0,0.0,0.0,338.0,3.0,1081.0,57.0,0.0,0.0,2/12/2021
7,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,18.0,0.0,60.0,6.0,0.0,0.0,0,0.0,0.0,303.0,3.0,1000.0,57.0,0.0,0.0,2/13/2021
8,0,0.0,0.0,4.0,2.0,31.0,8.0,0.0,0.0,0,0.0,0.0,19.0,2.0,80.0,12.0,0.0,0.0,0,0.0,0.0,279.0,5.0,929.0,59.0,0.0,0.0,2/14/2021
9,0,0.0,0.0,5.0,0.0,24.0,2.0,0.0,0.0,0,0.0,0.0,21.0,2.0,93.0,14.0,0.0,0.0,0,0.0,0.0,235.0,5.0,898.0,59.0,0.0,0.0,2/15/2021
10,0,0.0,0.0,3.0,0.0,47.0,2.0,0.0,0.0,0,0.0,0.0,23.0,2.0,98.0,13.0,0.0,0.0,0,0.0,0.0,194.0,5.0,881.0,58.0,0.0,0.0,2/16/2021
