,Daily Total Organic Views,Weekly Total Organic Views,28 Days Total Organic Views,Daily Total Promoted Views,Weekly Total Promoted Views,28 Days Total Promoted Views,Daily Total Organic 30-Second Views,Weekly Total Organic 30-Second Views,28 Days Total Organic 30-Second Views,Daily Paid 30-Second Views,Weekly Paid 30-Second Views,28 Days Paid 30-Second Views,Daily Total Video Views,Weekly Total Video Views,28 Days Total Video Views,Daily Total Auto-Played Views,Weekly Total Auto-Played Views,28 Days Total Auto-Played Views,Daily Total Clicked Views,Weekly Total Clicked Views,28 Days Total Clicked Views,Daily Video Repeats,Weekly Video Repeats,28 Days Video Repeats,Daily Total Unique Video Views,Weekly Total Unique Video Views,28 Days Total Unique Video Views,Daily Total 30-Second Views,Weekly Total 30-Second Views,28 Days Total 30-Second Views,Daily Auto-Played 30-Second Views,Weekly Auto-Played 30-Second Views,28 Days Auto-Played 30-Second Views,Daily Total Clicked 30-Second Views,Weekly Total Clicked 30-Second Views,28 Days Total Clicked 30-Second Views,Daily Total 30-Second Repeats,Weekly Total 30-Second Repeats,28 Days Total 30-Second Repeats,Daily Total Unique 30-Second Views,Weekly Total Unique 30-Second Views,28 Days Total Unique 30-Second Views,Date
1,31,302,15936,,,,,43,3427,,,,31,302,15936,31,285,15538,,17,398,3,69,8223,28,233,7713,,43,3427,,36,3272,,7,155,,5,1009,,38,2418,2/7/2021
2,33,268,13996,,,,7,40,3022,,,,33,268,13996,32,252,13636,1,16,360,5,64,6760,28,204,7236,7,40,3022,7,34,2882,,6,140,,5,779,7,35,2243,2/8/2021
3,59,280,11937,,,,10,36,2680,,,,59,280,11937,58,270,11601,1,10,336,11,70,5192,48,210,6745,10,36,2680,9,32,2549,1,4,131,2,5,579,8,31,2101,2/9/2021
4,28,264,7455,,,,2,31,1460,,,,28,264,7455,27,256,7215,1,8,240,9,66,3188,19,198,4267,2,31,1460,2,30,1379,,1,81,,4,313,2,27,1147,2/10/2021
5,46,269,5883,,,,6,33,1129,,,,46,269,5883,43,260,5676,3,9,207,5,59,2433,41,210,3450,6,33,1129,6,32,1064,,1,65,2,4,239,4,29,890,2/11/2021
6,25,257,4938,,,,3,31,932,,,,25,257,4938,22,247,4755,3,10,183,7,58,2013,18,199,2925,3,31,932,3,30,878,,1,54,1,5,192,2,26,740,2/12/2021
7,20,242,3538,,,,3,31,634,,,,20,242,3538,20,233,3387,,9,151,1,50,1439,19,192,2099,3,31,634,3,30,591,,1,43,,5,123,3,26,511,2/13/2021
8,32,243,2990,,,,1,32,528,,,,32,243,2990,24,226,2847,8,17,143,9,58,1157,23,185,1833,1,32,528,,30,488,1,2,40,,5,106,1,27,422,2/14/2021
9,34,244,2562,,,,3,28,436,,,,34,244,2562,33,227,2433,1,17,129,4,60,961,30,184,1601,3,28,436,3,26,401,,2,35,,6,92,3,22,344,2/15/2021
10,23,208,2213,,,,3,21,376,,,,23,208,2213,22,191,2095,1,17,118,3,46,811,20,162,1402,3,21,376,3,20,346,,1,30,,3,74,3,18,302,2/16/2021
