,Weekly Reach Demographics - F.13-17,Weekly Reach Demographics - F.18-24,Weekly Reach Demographics - F.25-34,Weekly Reach Demographics - F.35-44,Weekly Reach Demographics - F.45-54,Weekly Reach Demographics - F.55-64,Weekly Reach Demographics - F.65+,Weekly Reach Demographics - M.13-17,Weekly Reach Demographics - M.18-24,Weekly Reach Demographics - M.25-34,Weekly Reach Demographics - M.35-44,Weekly Reach Demographics - M.45-54,Weekly Reach Demographics - M.55-64,Weekly Reach Demographics - M.65+,Weekly Reach Demographics - U.13-17,Weekly Reach Demographics - U.18-24,Weekly Reach Demographics - U.25-34,Weekly Reach Demographics - U.35-44,Weekly Reach Demographics - U.45-54,Weekly Reach by Country - AE,Weekly Reach by Country - AF,Weekly Reach by Country - AM,Weekly Reach by Country - AT,Weekly Reach by Country - AU,Weekly Reach by Country - BD,Weekly Reach by Country - BE,Weekly Reach by Country - BH,Weekly Reach by Country - BR,Weekly Reach by Country - BT,Weekly Reach by Country - CA,Weekly Reach by Country - CF,Weekly Reach by Country - CN,Weekly Reach by Country - CY,Weekly Reach by Country - CZ,Weekly Reach by Country - DE,Weekly Reach by Country - DK,Weekly Reach by Country - DZ,Weekly Reach by Country - EE,Weekly Reach by Country - EG,Weekly Reach by Country - ES,Weekly Reach by Country - FI,Weekly Reach by Country - FR,Weekly Reach by Country - GB,Weekly Reach by Country - GH,Weekly Reach by Country - GM,Weekly Reach by Country - GR,Weekly Reach by Country - HK,Weekly Reach by Country - HU,Weekly Reach by Country - ID,Weekly Reach by Country - IE,Weekly Reach by Country - IN,Weekly Reach by Country - IT,Weekly Reach by Country - JP,Weekly Reach by Country - KE,Weekly Reach by Country - KR,Weekly Reach by Country - KW,Weekly Reach by Country - LB,Weekly Reach by Country - LK,Weekly Reach by Country - LT,Weekly Reach by Country - LY,Weekly Reach by Country - MA,Weekly Reach by Country - MM,Weekly Reach by Country - MN,Weekly Reach by Country - MU,Weekly Reach by Country - MV,Weekly Reach by Country - MX,Weekly Reach by Country - MY,Weekly Reach by Country - NG,Weekly Reach by Country - NL,Weekly Reach by Country - NO,Weekly Reach by Country - NP,Weekly Reach by Country - NZ,Weekly Reach by Country - OM,Weekly Reach by Country - PG,Weekly Reach by Country - PH,Weekly Reach by Country - PK,Weekly Reach by Country - PL,Weekly Reach by Country - PT,Weekly Reach by Country - QA,Weekly Reach by Country - RO,Weekly Reach by Country - RU,Weekly Reach by Country - SA,Weekly Reach by Country - SE,Weekly Reach by Country - SG,Weekly Reach by Country - SY,Weekly Reach by Country - TH,Weekly Reach by Country - TN,Weekly Reach by Country - TR,Weekly Reach by Country - TW,Weekly Reach by Country - TZ,Weekly Reach by Country - US,Weekly Reach by Country - VN,Weekly Reach by Country - ZA,Weekly Reach by Country - ZW,"Weekly Reach by City - Bandarban, Chittagong Division, Bangladesh","Weekly Reach by City - Bangalore, Karnataka, India","Weekly Reach by City - Barisal, Barisal Division, Bangladesh","Weekly Reach by City - Bhairab Bazar, Dhaka Division, Bangladesh","Weekly Reach by City - Bogura, Rajshahi Division, Bangladesh","Weekly Reach by City - Brahmanbaria, Chittagong Division, Bangladesh","Weekly Reach by City - Chandpur, Chittagong Division, Bangladesh","Weekly Reach by City - Chiringa, Chittagong Division, Bangladesh","Weekly Reach by City - Chittagong, Chittagong Division, Bangladesh","Weekly Reach by City - Comilla, Chittagong Division, Bangladesh","Weekly Reach by City - Cox's Bazar, Chittagong Division, Bangladesh","Weekly Reach by City - Dhaka, Dhaka Division, Bangladesh","Weekly Reach by City - Dinajpur, Rangpur Division, Bangladesh","Weekly Reach by City - Durgapur, West Bengal, India","Weekly Reach by City - Edmonton, AB, Canada","Weekly Reach by City - Faridpur, Dhaka Division, Bangladesh","Weekly Reach by City - Feni, Chittagong Division, Bangladesh","Weekly Reach by City - Gazipur, Dhaka Division, Bangladesh","Weekly Reach by City - Gobindganj, Rangpur Division, Bangladesh","Weekly Reach by City - Gopalganj, Dhaka Division, Bangladesh","Weekly Reach by City - Habiganj, Sylhet Division, Bangladesh","Weekly Reach by City - Hemayatpur, Rajshahi Division, Bangladesh","Weekly Reach by City - Ishurdi, Rajshahi Division, Bangladesh","Weekly Reach by City - Jaipur Hat, Rajshahi Division, Bangladesh","Weekly Reach by City - Jamalpur Sadar Upazila, Dhaka Division, Bangladesh","Weekly Reach by City - Jessore, Khulna Division, Bangladesh","Weekly Reach by City - Jhenida, Khulna Division, Bangladesh","Weekly Reach by City - Khagrachari, Chittagong Division, Bangladesh","Weekly Reach by City - Khulna, Khulna Division, Bangladesh","Weekly Reach by City - Kishoreganj, Dhaka Division, Bangladesh","Weekly Reach by City - Kolkata, West Bengal, India","Weekly Reach by City - Kuala Lumpur, Malaysia","Weekly Reach by City - London, UK","Weekly Reach by City - Madaripur, Dhaka Division, Bangladesh","Weekly Reach by City - Maijdee Court, Chittagong Division, Bangladesh","Weekly Reach by City - Manikganj, Dhaka Division, Bangladesh","Weekly Reach by City - Maulvi Bazar, Sylhet Division, Bangladesh","Weekly Reach by City - Melbourne, VIC, Australia","Weekly Reach by City - Minneapolis, MN","Weekly Reach by City - Montreal, QC, Canada","Weekly Reach by City - Mumbai, Maharashtra, India","Weekly Reach by City - Munshiganj, Dhaka Division, Bangladesh","Weekly Reach by City - Mymensingh, Dhaka Division, Bangladesh","Weekly Reach by City - Narail, Khulna Division, Bangladesh","Weekly Reach by City - Narayanganj, Dhaka Division, Bangladesh","Weekly Reach by City - Narnia, Rajshahi Division, Bangladesh","Weekly Reach by City - Narsingdi, Dhaka Division, Bangladesh","Weekly Reach by City - Natore, Rajshahi Division, Bangladesh","Weekly Reach by City - Nawabganj, Rajshahi Division, Bangladesh","Weekly Reach by City - Netrokona, Dhaka Division, Bangladesh","Weekly Reach by City - New York, NY","Weekly Reach by City - Pabna, Rajshahi Division, Bangladesh","Weekly Reach by City - Palashbari, Rajshahi Division, Bangladesh","Weekly Reach by City - Panchagarh, Rangpur Division, Bangladesh","Weekly Reach by City - Parbatipur, Rangpur Division, Bangladesh","Weekly Reach by City - Perth, WA, Australia","Weekly Reach by City - Rajshahi, Rajshahi Division, Bangladesh","Weekly Reach by City - Rangamati, Chittagong Division, Bangladesh","Weekly Reach by City - Rangpur, Rangpur Division, Bangladesh","Weekly Reach by City - Satkhira, Khulna Division, Bangladesh","Weekly Reach by City - Savar, Dhaka Division, Bangladesh","Weekly Reach by City - Sherpur, Dhaka Division, Bangladesh","Weekly Reach by City - Singapore, Singapore","Weekly Reach by City - Sirajganj, Rajshahi Division, Bangladesh","Weekly Reach by City - Stockholm, Sweden","Weekly Reach by City - Sunamganj, Sylhet Division, Bangladesh","Weekly Reach by City - Sydney, NSW, Australia","Weekly Reach by City - Sylhet, Sylhet Division, Bangladesh","Weekly Reach by City - Tampere, Finland","Weekly Reach by City - Tangail, Dhaka Division, Bangladesh","Weekly Reach by City - Thakurgaon, Rangpur Division, Bangladesh","Weekly Reach by City - Tongi, Dhaka Division, Bangladesh","Weekly Reach by City - Toronto, ON, Canada","Weekly Reach by City - Winnipeg, MB, Canada",Weekly Reach by Language - af_ZA,Weekly Reach by Language - ar_AR,Weekly Reach by Language - as_IN,Weekly Reach by Language - bn_IN,Weekly Reach by Language - da_DK,Weekly Reach by Language - de_DE,Weekly Reach by Language - el_GR,Weekly Reach by Language - en_GB,Weekly Reach by Language - en_IN,Weekly Reach by Language - en_UD,Weekly Reach by Language - en_US,Weekly Reach by Language - es_ES,Weekly Reach by Language - es_LA,Weekly Reach by Language - fb_LT,Weekly Reach by Language - fr_CA,Weekly Reach by Language - fr_FR,Weekly Reach by Language - fy_NL,Weekly Reach by Language - gu_IN,Weekly Reach by Language - hi_IN,Weekly Reach by Language - hu_HU,Weekly Reach by Language - id_ID,Weekly Reach by Language - it_IT,Weekly Reach by Language - ja_JP,Weekly Reach by Language - kn_IN,Weekly Reach by Language - ko_KR,Weekly Reach by Language - lt_LT,Weekly Reach by Language - mn_MN,Weekly Reach by Language - mr_IN,Weekly Reach by Language - ms_MY,Weekly Reach by Language - ne_NP,Weekly Reach by Language - nl_BE,Weekly Reach by Language - nl_NL,Weekly Reach by Language - pa_IN,Weekly Reach by Language - pl_PL,Weekly Reach by Language - pt_BR,Weekly Reach by Language - pt_PT,Weekly Reach by Language - ru_RU,Weekly Reach by Language - so_SO,Weekly Reach by Language - sq_AL,Weekly Reach by Language - sv_SE,Weekly Reach by Language - sy_SY,Weekly Reach by Language - ta_IN,Weekly Reach by Language - tl_PH,Weekly Reach by Language - tr_TR,Weekly Reach by Language - tz_MA,Weekly Reach by Language - ur_PK,Weekly Reach by Language - vi_VN,Weekly Reach by Language - zh_CN,Weekly Reach by Language - zh_TW,Weekly Reach by Language - zz_TR,Date
1,60,1493.0,474.0,46.0,24.0,12.0,17.0,43.0,3769.0,2270.0,113.0,43.0,9.0,39.0,,,,,,2,,,,39.0,8029.0,2.0,,1.0,,40.0,,3.0,1.0,1.0,39.0,1.0,1.0,,,1.0,13.0,3.0,15.0,,,1.0,,4.0,1.0,3.0,33.0,9.0,10.0,1.0,2.0,1.0,1.0,,2.0,,1.0,,,,1.0,,14.0,,,,,2.0,2.0,1.0,1.0,3.0,,,3.0,,1.0,16.0,7.0,1.0,,3.0,,1.0,,,94.0,,,,8,,32.0,,114.0,,17.0,,309.0,69.0,16.0,6304.0,23.0,,,13.0,11.0,103.0,24.0,,,,16.0,16.0,,43.0,7.0,,79.0,6.0,,8.0,6.0,,,,11.0,,,,,,56.0,,66.0,,38.0,,10.0,12.0,13.0,19.0,,6.0,6.0,7.0,121.0,11.0,69.0,,6.0,6.0,,25.0,,,22.0,48.0,7.0,27.0,15.0,12.0,12.0,,,1.0,5.0,267.0,1.0,1.0,,1751.0,,,6367.0,,7.0,,,2.0,,,2.0,,1.0,,,,,1.0,,,2.0,,,,,,2.0,,,,1.0,,,,,,,1.0,,,,,2/7/2021
2,61,1478.0,478.0,48.0,24.0,11.0,18.0,42.0,3712.0,2239.0,112.0,43.0,11.0,36.0,,,,,,4,,,,40.0,7933.0,2.0,1.0,,,40.0,,3.0,1.0,1.0,36.0,1.0,1.0,,,1.0,14.0,3.0,14.0,,,1.0,,4.0,1.0,2.0,33.0,9.0,10.0,1.0,2.0,1.0,1.0,,2.0,,1.0,,,,,,14.0,,,,,2.0,2.0,1.0,1.0,3.0,,,3.0,,1.0,16.0,7.0,1.0,,3.0,,1.0,,,93.0,,,,7,,29.0,,118.0,7.0,17.0,,299.0,69.0,14.0,6221.0,23.0,,,13.0,13.0,100.0,27.0,,,,15.0,16.0,,43.0,7.0,,79.0,6.0,,8.0,,,,,10.0,7.0,,,,,56.0,,64.0,,40.0,,10.0,13.0,13.0,23.0,,6.0,6.0,7.0,125.0,11.0,66.0,,6.0,,,20.0,,,22.0,50.0,7.0,25.0,14.0,11.0,12.0,,,1.0,4.0,266.0,1.0,1.0,,1727.0,,,6294.0,,8.0,,,2.0,,,1.0,,1.0,,,,,1.0,,,2.0,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,,,,2/8/2021
3,55,1255.0,451.0,54.0,19.0,11.0,18.0,35.0,3026.0,2128.0,110.0,37.0,8.0,35.0,,,,,,5,1.0,,,34.0,6847.0,2.0,1.0,,,46.0,,2.0,1.0,1.0,37.0,2.0,,,,1.0,14.0,2.0,16.0,,,1.0,,3.0,1.0,,42.0,9.0,11.0,1.0,2.0,1.0,,,2.0,,1.0,,,1.0,,,13.0,,,,2.0,2.0,2.0,1.0,1.0,3.0,,,2.0,,1.0,16.0,8.0,2.0,,3.0,,1.0,,,97.0,,,,,,23.0,,64.0,6.0,16.0,5.0,268.0,62.0,14.0,5358.0,21.0,,,13.0,11.0,96.0,31.0,,,,7.0,17.0,,35.0,6.0,,60.0,7.0,11.0,7.0,7.0,,,,9.0,7.0,,,,,44.0,,57.0,,34.0,,6.0,16.0,15.0,22.0,,,,6.0,103.0,10.0,61.0,,,6.0,,18.0,,,16.0,58.0,7.0,25.0,,9.0,14.0,5.0,,1.0,5.0,223.0,1.0,1.0,,1488.0,2.0,,5502.0,,7.0,,,1.0,,,2.0,,1.0,,1.0,,,1.0,,,2.0,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,,,,2/9/2021
4,41,1120.0,444.0,52.0,18.0,10.0,17.0,28.0,2827.0,2062.0,101.0,31.0,10.0,32.0,,,,,,5,1.0,,,33.0,6403.0,2.0,1.0,,1.0,44.0,,1.0,1.0,1.0,38.0,3.0,,,,1.0,13.0,2.0,16.0,,,1.0,,3.0,1.0,,52.0,7.0,11.0,1.0,2.0,,,,2.0,,,,,1.0,,,12.0,,,,3.0,2.0,3.0,,1.0,1.0,,,2.0,,2.0,13.0,10.0,2.0,,3.0,,1.0,,,90.0,,,,,,22.0,,44.0,,14.0,,251.0,54.0,15.0,5011.0,22.0,5.0,,23.0,10.0,97.0,32.0,,,,,15.0,,31.0,,6.0,57.0,5.0,13.0,,7.0,,,,10.0,7.0,,5.0,,,38.0,,52.0,6.0,35.0,,6.0,18.0,12.0,19.0,5.0,,,6.0,91.0,12.0,55.0,,,6.0,,22.0,,,15.0,51.0,6.0,26.0,,8.0,13.0,5.0,,,4.0,209.0,1.0,1.0,,1405.0,2.0,,5151.0,,7.0,,,1.0,,,1.0,,1.0,,1.0,,,1.0,,,2.0,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,1.0,1.0,,,2/10/2021
5,38,1088.0,443.0,48.0,19.0,10.0,17.0,28.0,2797.0,2039.0,99.0,30.0,10.0,29.0,,,,,,5,1.0,,,31.0,6316.0,2.0,1.0,,1.0,42.0,,1.0,1.0,1.0,36.0,3.0,,,,1.0,13.0,2.0,14.0,,,1.0,,3.0,1.0,,53.0,8.0,11.0,,2.0,1.0,,,2.0,,,,,1.0,,,12.0,,1.0,,3.0,1.0,2.0,,1.0,1.0,,,2.0,,2.0,10.0,10.0,4.0,,3.0,,,,,87.0,,,,,,20.0,,43.0,5.0,14.0,,244.0,51.0,15.0,4944.0,21.0,6.0,,26.0,10.0,94.0,32.0,,,,,15.0,5.0,30.0,,8.0,54.0,5.0,14.0,,6.0,,,,10.0,6.0,,,,,40.0,,51.0,5.0,33.0,,6.0,18.0,13.0,20.0,,,,6.0,89.0,11.0,54.0,,,6.0,,24.0,,,14.0,54.0,6.0,25.0,,7.0,14.0,5.0,,,4.0,202.0,1.0,1.0,,1377.0,2.0,,5089.0,,6.0,,,1.0,,,1.0,,1.0,,1.0,,,1.0,,,2.0,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,1.0,1.0,,,2/11/2021
6,38,1074.0,453.0,45.0,21.0,8.0,16.0,28.0,2815.0,2051.0,100.0,29.0,13.0,26.0,,,1.0,,,5,1.0,1.0,,32.0,6343.0,2.0,1.0,,1.0,43.0,,1.0,1.0,,35.0,3.0,,,,1.0,13.0,1.0,15.0,,,1.0,,3.0,,,52.0,6.0,11.0,,2.0,1.0,,,1.0,,,,,1.0,,,11.0,,1.0,,3.0,1.0,2.0,,2.0,2.0,,,2.0,,2.0,7.0,10.0,4.0,,3.0,,,,,87.0,,,,,5.0,24.0,,40.0,5.0,13.0,,245.0,56.0,18.0,4970.0,20.0,6.0,,27.0,10.0,102.0,32.0,,,,,15.0,,30.0,,9.0,55.0,,13.0,,6.0,,,,10.0,6.0,,,,,40.0,,52.0,5.0,34.0,,7.0,17.0,12.0,21.0,5.0,,,6.0,87.0,11.0,57.0,,,5.0,,23.0,,,15.0,55.0,6.0,25.0,,6.0,15.0,5.0,,1.0,5.0,203.0,1.0,1.0,,1383.0,2.0,,5105.0,,4.0,,,1.0,,,3.0,,,,1.0,,,,,,2.0,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,1.0,1.0,,,2/12/2021
7,31,707.0,348.0,40.0,16.0,7.0,13.0,25.0,1850.0,1424.0,82.0,23.0,11.0,15.0,,,1.0,,,5,1.0,1.0,,17.0,4310.0,2.0,1.0,,1.0,29.0,,1.0,,,23.0,3.0,,,,,6.0,1.0,10.0,,,1.0,,2.0,,,46.0,5.0,9.0,,1.0,1.0,,,1.0,,,,,1.0,,,9.0,,2.0,,3.0,,1.0,,2.0,3.0,,,,,1.0,6.0,8.0,3.0,,2.0,1.0,,,,67.0,,,,,5.0,20.0,,26.0,6.0,9.0,,182.0,43.0,15.0,3355.0,15.0,6.0,3.0,24.0,10.0,61.0,7.0,,,,,8.0,,21.0,4.0,9.0,40.0,,10.0,,4.0,,,,8.0,,,,,4.0,26.0,,38.0,4.0,23.0,4.0,,9.0,9.0,15.0,,4.0,,,53.0,9.0,35.0,,,,,16.0,4.0,,7.0,37.0,,18.0,4.0,,9.0,4.0,,1.0,4.0,150.0,1.0,,,962.0,2.0,,3460.0,,2.0,,,1.0,,,3.0,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,1.0,2.0,,,2/13/2021
8,30,760.0,385.0,49.0,15.0,5.0,12.0,20.0,1916.0,1437.0,79.0,19.0,11.0,17.0,,,1.0,1.0,,5,1.0,1.0,,14.0,4477.0,2.0,1.0,,1.0,33.0,,1.0,,,21.0,3.0,,,,,6.0,1.0,7.0,,,,,3.0,,,45.0,3.0,8.0,1.0,2.0,1.0,,,1.0,,,,,1.0,,,7.0,,2.0,,4.0,,1.0,,1.0,3.0,,,,,1.0,8.0,7.0,4.0,,1.0,1.0,,,,75.0,,,,4,4.0,21.0,,28.0,6.0,8.0,,209.0,42.0,16.0,3504.0,16.0,,4.0,23.0,9.0,64.0,6.0,,,,,9.0,,20.0,4.0,9.0,40.0,,10.0,,,,,6.0,6.0,5.0,,,,,30.0,,36.0,,20.0,4.0,4.0,6.0,9.0,17.0,,,,,53.0,7.0,39.0,,,4.0,4.0,14.0,,,6.0,34.0,,19.0,5.0,5.0,12.0,,,1.0,3.0,158.0,1.0,,,969.0,2.0,,3612.0,,1.0,,,,,,3.0,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,2.0,,,2/14/2021
9,37,919.0,516.0,72.0,22.0,7.0,14.0,25.0,2101.0,1612.0,92.0,19.0,11.0,20.0,,,1.0,1.0,,3,1.0,2.0,2.0,15.0,5112.0,3.0,,,1.0,37.0,,1.0,,,26.0,2.0,,,,1.0,5.0,2.0,19.0,1.0,,,,3.0,,,50.0,5.0,14.0,1.0,2.0,1.0,,,2.0,,,,,1.0,,,12.0,,2.0,,5.0,1.0,1.0,,1.0,6.0,1.0,,1.0,,1.0,10.0,8.0,4.0,,1.0,1.0,,,,99.0,1.0,,1.0,5,5.0,26.0,,25.0,,7.0,,356.0,45.0,22.0,3870.0,15.0,4.0,6.0,23.0,12.0,65.0,,,,,,10.0,,24.0,,13.0,48.0,,12.0,,6.0,,,7.0,8.0,5.0,4.0,,4.0,,32.0,,42.0,,21.0,,5.0,5.0,16.0,16.0,,,,,56.0,13.0,51.0,,,5.0,,17.0,,5.0,6.0,54.0,,22.0,8.0,6.0,13.0,,,1.0,3.0,189.0,,1.0,,1130.0,2.0,,4127.0,1.0,,,,,,,3.0,,,1.0,4.0,,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,,,,1.0,,,2.0,,,2/15/2021
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/16/2021
